CodeMixed_Arabic,pr_ar,cat_ar,CodeMixed_English,pr_en,cat_en,GroundTruth_Arabic,GroundTruth_English
"موضوع الـ
letter
اللي لازم نكتبه ونقراه لعيالنا
aloud
ده موترني، وأنا مش شاطر في موضوع الـ
emotions
ده.",0.8421052632,Arabic 67–100%,"We're supposed to
نكتب الجواب ونقراه لعيالنا بصوت عالي، وده
really stressing me out
عشان أنا مش شاطر في موضوع المشاعر ده.",0.3181818182,English 0–33%,موضوع الجواب اللي لازم نكتبه ونقراه لعيالنا يصوت عالي ده موترني. وأنا مش شاطر في موضوع المشاعر ده.,We're supposed to write that letter aloud to our kids. It's stressing me out because I'm not really good with emotions.
"ما هو للأسف، دي
situation
مفيهاش
any help.",0.625,Arabic 34–66%,"I don't think
انت تقدر.
I don't think
حد يقدر يساعدني.",0.5454545455,English 34–66%,ما هو للأسف، دي بقى مفيهاش مساعدة.,I don't think you can. I don't think anyone can help me.
"وإنه عمره ما هيعرف يعوضها عن الـ
tenderness
اللي مامتها كانت بتديها لها، و ساعات بيتمنى لو ربنا اختاره هو
instead of her.",0.8260869565,Arabic 67–100%,"And he’s afraid
عمره ما يقدر يعوضها عن حنية مامتها،
so sometimes
بيتمنى لو كان مكانها.",0.3125,English 0–33%,وإنه عمره ما هيعرف يعوضها عن حنيتها، وساعات كان بيتمنى لو ربنا اختاره هو مكانها.,"And that he's afraid he could never give her the tenderness her mom gave her, so sometimes, he wishes he was gone instead of her."
"بيدفن نفسه في الـ
work
، ومخليها فاكرة إنه
abandoned her at your place.",0.5714285714,Arabic 34–66%,"He's drowning himself
في الشغل ومخليها تحس إنه رماها عندكوا.",0.3,English 0–33%,وبيدفن نفسه في الشعل، ومخليها فاكرة إنه راميها عندكوا.,So he's drowning himself in work and abandoning her at your place.
"طب ما تقولها
like that
، ما تكتب
it.",0.6666666667,Arabic 67–100%,"Well,
ليه ما تقولها كدا؟ بس اكتب ده.",0.125,English 0–33%,طب ما تقولها كدا، ما تكتب ده.,"Well, why don't you just tell her that? Just write it like that."
"أه على فكرة، أنا عمري ما قولتلك إني
so grateful
ليكي إنك اتبنيتي
Zeina
في بيتك، من غير ما تحكمي على أي حد فينا.",0.875,Arabic 67–100%,"Oh, by the way, I never told you
إنه أنا شايلك إنك اتبنيتي
Zeina
في بيتك من غير ما تحكمي على حد فينا.",0.3913043478,English 34–66%,أه على فكرة، أنا عمري ما قولتلك إن أنا شايلك إنك اتبنيتي زينة في بيتك، من غير ما تحكمي على حد فينا.,"Oh, by the way, I never told you how grateful I am to you for taking Zeina in without ever judging either of us."
"كنا رايحين الـ
airport
نستقبل نحمدو، كانت راجعة
from
الحج.",0.8,Arabic 67–100%,"We were going
نستقبل
Nehmedo
، اللي كانت راجعة من الـ
Hajj.",0.4166666667,English 34–66%,كنا رايحين المطار نستقبل نحمدو. كانت راجعة من الحج.,"We were going to pick up Nehmedo, who was coming from Hajj."
"بس يا عيني من أول ما
she
لبسته من البيت وهي
spinning
كدا. عمالة تهرش في كل حتة في جسمها.",0.9,Arabic 67–100%,"The poor thing, the minute
ما لبسته من البيت,
she started
تهرش
in
كل حتة
in
جسمها.",0.5294117647,English 34–66%,بس يا عيني من ساعة ما لبسته من البيت وهي متنّية كدا. عمالة تهرش في كل حتة في جسمها.,"But the poor thing, the minute she put it on, she started spinning and wiggling, scratching herself all over."
"الفستان كان حلو أوي ومنفوش كدا، بس الـ
fabric
بتاعته كانت
itchy
و
rough
، فظيعة.",0.8125,Arabic 67–100%,"The dress was
جميل أوي ومنفوش كدا، بس الـ القماشة كانت بتشوّك وفظيعة.",0.2307692308,English 0–33%,الفستان كان حلو أوي ومنفوش كدا، بس كانت القماشة بتاعته بتشوّك، فظيعة.,"The dress was beautiful, but its fabric was so itchy and rough that it was horrible."
"هو أنا بقيت زي نحمدو ولا إيه؟
Just like my mother used to tell me.",0.4666666667,Arabic 34–66%,"هو أنا بقيت زي نحمدو ولا إيه؟
Just like my mother used to tell me.",0.5333333333,English 34–66%,هو أنا بقيت زي نحمدو ولا إيه؟,Just like my mother used to tell me.
"زمان لما كنت أروح لمامتي وأشتكيلها من أي حاجة، مكنتش تقعد تعمل
listen
معايا ونقعد نـ
vent
ونرغي وحاجات كده.",0.9,Arabic 67–100%,"When I used to reach out to my mom about
أي حاجة،
she would never sit
وتحاول تـ
listen or let me
أفضفض
and talk.",0.8,English 67–100%,زمان لما كنت أروح لأمي أشتكيلها من أي حاجة، مكنتش تقعد تاخد وتدي معايا في الكلام ونفضفض ونرغي وحاجات كدا.,"When I would reach out to my mother about anything, she would never sit and listen to me and let me vent."
"عشان خاطري
reply
عليها لما تكلمك يا سهير.",0.875,Arabic 67–100%,"Please
ردّي عليها لما
she calls you
يا سهير.",0.4444444444,English 34–66%,عشان خاطري ردي عليها لما تكلمك يا سهير.,"Please answer the phone when she calls you, Soheir."
"همشي بقى عشان مليش في الـ
overwhelming emotions
والإيموشنز والكلام ده خالص.",0.8333333333,Arabic 67–100%,"I'd better leave now,
عشان مليش في المشاعر الفياضة
and
كل الكلام ده.",0.3846153846,English 34–66%,همشي بقى عشان مليش في المشاعر الفياضة والإيموشنز والكلام ده خالص.,I'd better leave now. I'm not really into overwhelming emotions and all that.
"من خلال إجابتكم هنعرف
if you really know them
ولا لأ.",0.5454545455,Arabic 34–66%,"Your answers
هتحدد لو فعلاً تعرفوهم ولا لأ.",0.25,English 0–33%,ومن خلال إجابتكم هنعرف تعرفوهم بجد ولا لا.,And your answers will determine how well you really know them.
"آخر حاجة سَليم بيعملها قبل ما ينام هي الـ
last thing.",0.8181818182,Arabic 67–100%,"The very last
حاجة
Salim does
قبل ما ينام?",0.5555555556,English 34–66%,آخر حاجة بيعملها سَليم قبل ما ينام؟,What's the very last thing Salim does before bedtime?
"إنت آخر حاجة بتعملها هي إنك
brush
سنانك وبعد كدا بدخل أغطيك.",0.9166666667,Arabic 67–100%,"The last thing you do
هو إنك تغسل
your
سنان قبل ما أدخل أغطيك.",0.4285714286,English 34–66%,ما إنت آخر حاجة بتغسل سنانك وبعد كدا بدخل أغطيك...,The last thing you do is brush your teeth before I tuck you in.
"مامي، أنا بكلم بابي وبقوله
goodnight
، بعد كدا بخش أنام.",0.9090909091,Arabic 67–100%,"Mommy, I always
بكلم بابي
to say
تصبح على خير.
That’s the last thing I do
قبل ما أنام.",0.5789473684,English 34–66%,مامي، أنا بكلم بابي، وبقوله تصبح على خير بعد كدا بخش أنام.,"Mommy, I always call Daddy to say goodnight. That's the last thing I do before bed."
"معلش أصل الـ
camp
آباء، فهما أكيد لاقيين وقت
to practice
هوايتهم.",0.75,Arabic 67–100%,"We're in a
كامب آباء,
after all.
أكيد
everyone has
وقت يمارسوا هوايتهم.",0.5384615385,English 34–66%,معلش أصل الكامب آباء، فهما لاقيين وقت يمارسوا هوايتهم.,"We're in a fathers' camp, after all. I'm sure everyone has time to practice their hobbies."
"طيب، إيه أكتر حاجة مامتك بتحبها فيك يا
Salim
؟",0.9,Arabic 67–100%,"Okay, now,
إيه أكتر حاجة
your mother likes
فيها يا
Salim?",0.5454545455,English 34–66%,طيب، إيه أكتر حاجة مامتك بتحبها فيك؟,"Okay, now, what does your mother like the most about you, Salim?"
"سها قالتلنا إن مدام
Ola
معرفتش تيجي
because of family circumstances.",0.5454545455,Arabic 34–66%,"Soha said
إن مدام علا معرفتش تيجي بسبب ظروف عائلية.",0.2,English 0–33%,سها قالتلنا إن مدام علا معرفتش تيجي لظروف عائلية.,Soha said that Ola couldn't make it due to an emergency.
"فا لو اتلخبطتوا في حاجة, يعني اللغات بتكمل
each other, right
؟",0.75,Arabic 67–100%,"So, if you get confused
في حاجة,
I mean, all
اللغات
complement
بعض,
right?",0.7142857143,English 67–100%,فا لو اتلخبتطوا في حاجة هي اللغات بتكمل بعض يعني.,"So, in case you get confused, I mean, all languages complement each other, right?"
"دكتور مروان، زينة عندها كام
followers
على الإنستغرام؟",0.875,Arabic 67–100%,"Now you, Marwan. Zeina
عندها كام
followers
على الإنستغرام?",0.5555555556,English 34–66%,دكتور مروان، زينة عندها كام فلور على الإنستغرام؟,"Now, you, Marwan. How many followers does Zeina have on Instagram?"
"عمومًا، أنا بقالي
a very long time
ما شوفتوش وهو
happy
زي دلوقتي.",0.6153846154,Arabic 34–66%,"Anyway, it's been
كتير جدًا
since I've seen him
مبسوط زي دلوقتي.",0.5833333333,English 34–66%,عمومًا، أنا بقالي كتير جدًا ما شوفتوش وهو مبسوط زي دلوقتي.,"Anyway, it's been a long time since I've seen him happy."
"هما ما كانوش
pleased
، وما كانوش
disappointed.",0.75,Arabic 67–100%,"They
ما كانوش مبسوطين، وما كانوش مضايقين.",0.1428571429,English 0–33%,هما ما كانوش مبسوطين، وما كانوش مضايقين.,"So, they weren't really pleased, and they weren't disappointed."
"بس عادي يعني،
my whole life
اليومين دول كلها كدا.",0.7,Arabic 67–100%,"But it seems
حياتي اليومين دول كلها
all over the place.",0.6363636364,English 34–66%,بس عادي يعني، حياتي اليومين دول كلها كدا.,But it seems like my whole life is all over the place.
"بس لما بيبقى عندك
kids
مينفعش
you show weakness.",0.5555555556,Arabic 34–66%,"But turns out,
لما تبقى
parent,
ماينفعش تضعف.",0.5,English 34–66%,بس لما بيبقى عندك عيال مينفعش تضعف.,"But turns out, when you're a parent, you can't have weaknesses."
"أنا دلوقتي
just listening
، مش بفكر في
solution.",0.6666666667,Arabic 67–100%,"Right now
أنا بس بسمعك، مش بفكر
in
حل.",0.3333333333,English 34–66%,وبيعدين أنا دلوقتي بسمعك، مش بفكر في حل.,"Besides, right now, I'm just listening. I'm not looking for a solution."
"إنتي من الناس القليلة اللي لما بشوفها،
I forget about my problems.",0.5833333333,Arabic 34–66%,"You’re one of
الناس القليلة اللي
every time I see you
، مبفكرش في مشاكلي.",0.5333333333,English 34–66%,إنتي من الناس القليلة اللي لما بشوفها، مبفكرش في مشاكلي.,You make me forget about my problems. Every time I talk to you.
"هو ليه كل الناس فاكرة إني
dumb
؟",0.875,Arabic 67–100%,"Why does everyone think
إني عبيطة؟",0.6666666667,English 67–100%,هو ليه كل الناس فاكرة إني عبيطة؟,Why does everyone think I'm dumb?
"يبقى ليه كل الناس اللي
I love
بيسيبوني وبيمشوا؟",0.7777777778,Arabic 67–100%,"Then
ليه
everyone I love
بيسيبوني ويمشوا؟",0.5714285714,English 34–66%,يبقى ليه كل اللي بحبهم بيسيبوني وبيمشوا؟,Then why does everyone I love end up leaving?
"اللي مسخرلنا الكامب كله عشان خاطر
our eyes.",0.75,Arabic 67–100%,"The one who made the camp
كله عشان خاطر
our eyes.",0.7272727273,English 67–100%,اللي مسخرلنا الكامب كله عشان خاطر عيونا.,The one who's made this camp our personal wonderland.
"أنا عارفة إن أنا
cook mom
آه، بس متزوديهاش يا
Nadia
، مش للدرجة دي.",0.8,Arabic 67–100%,"I know I’m
أم كول, بس
don’t push it
يا
Nadia
، في
limits.",0.5714285714,English 34–66%,أنا أم كول أه، بس متزوديهاش يا نادية، مش للدرجة دي.,"I know I'm a cook mom, but don't push it, Nadia. There are limits."
"إحنا كنا جايين عشان
have fun
، وعشان بابايا وباباكي يتعرفوا على بعض.",0.8461538462,Arabic 67–100%,"We came here to
نتبسط
so
بابايا و باباكي
can get to know each other.",0.7333333333,English 67–100%,إحنا  كنا جايين عشان نتبسط، وعشان بابايا وباباكي يتعرفوا على بعض.,We came here to have fun so my dad could get to know your dad.
"أديكي إنتي مع
Yassin
، وبابايا مع
your mom.",0.6666666667,Arabic 67–100%,"Instead,
إنتي مع
Yassin
، وبابايا مع مامتك.",0.25,English 0–33%,أديكي إنتي تعرفتي على ياسين، وبابايا اتعرف على مامتك.,"Instead, you're with Yassin, and my dad is with your mom!"
"بس أنا عشان كنت عايزك تطلع
a real man
زيي.",0.7,Arabic 67–100%,"That's because
أنا كنت عايزك تبقى راجل زيي.",0.25,English 0–33%,بس أنا عشان كنت عايزك تطلع راجل زيي.,That's because I want you to become a real man.
"أنا لازم غصب عن عين أمي
I love you
زي ما إنت.",0.75,Arabic 67–100%,"I have to
أحبك
whether I like it or not
، زي ما إنت.",0.6428571429,English 34–66%,وإن أنا لازم غصب عن عين أمي أحبك زي ما إنت.,"And I have to love you whether I like it or not, just how you are."
"مش عارف الكلام ده
confusing
أو هتفهمه
or not.",0.6666666667,Arabic 67–100%,"I wonder
لو أنا ملخبط ولا لو هتكون قادر تفهم.",0.2,English 0–33%,مش عارف الكلام ده ملخبط أو هتفهمه ولا لا.,I wonder if I'm being confused or if you'll understand.
"بس أنا مليش في الـ
feelings
دي.",0.8571428571,Arabic 67–100%,"I don't talk
عن مشاعري.",0.6,English 34–66%,بس أنا مليش في الحاجات المايعة دي.,I don't talk about my feelings.
"بس أنا عايز أقولك،
maybe
مقلتلكش
before
كدا.",0.75,Arabic 67–100%,"But I want to tell you
حاجة، يمكن مقلتلكش قبل كدا.",0.5454545455,English 34–66%,بس أنا عايز أقولك، يمكن مقلتلكش قبل كدا.,But I want to tell you something I didn't say enough to you.
"أنا عارف إني مش بعمل حاجة ولا بقول
anything.",0.8888888889,Arabic 67–100%,"I know
إني دايمًا ببان
very distant.",0.5714285714,English 34–66%,أنا عارف إني مش بعمل حاجة ولا بقول حاجة.,I know that I seem very distant all the time.
"عارف إنك ساعات بتتمني لو
I was the one
اللي مت مكان ماما.",0.6923076923,Arabic 67–100%,"I know
إنك ساعات
wish
لو كنت أنا اللي
died instead of
ماما.",0.4615384615,English 34–66%,وعارف إنك ساعات بتتمني لو كنت أنا اللي مت مكان ماما.,And I know you sometimes wish I had died instead of your mom.
"عارف إنك مش فاهمة ليه أنا
a good doctor
ومعرفتش أنقذها.",0.7272727273,Arabic 67–100%,"I know
إنك مش فاهمة إزاي
I’m such a good doctor
ومعرفتش أنقذها.",0.5384615385,English 34–66%,وعارف إنك مش فاهمة إزاي أنا دكتور شاطر ومعرفتش أنقذها.,"I know you don't understand why I'm such a good doctor, yet I couldn't save her."
"عارف إنك دايمًا بتـ
run away
مني عشان
I let you down.",0.5,Arabic 34–66%,"I know
إنك دايمًا بتهربي مني عشان خذلتك.",0.25,English 0–33%,وعارف إنك بتهربي مني طول الوقت عشان خذلتك.,I know you're always running away from me because I've let you down.
"وأنا كمان بهرب منك طول الـ
time
علشان ميبقاش في حاجة جوّايا قادر
I give you.",0.75,Arabic 67–100%,"I'm always running away
منك عشان مبقاش في حاجة كويسة أقدر أقدمهالك.",0.3333333333,English 34–66%,وأنا  كمان بهرب منك طول الوقت علشان مبقاش في حاجة جوايا قادر أقدمهالك.,I'm always running away from you because I have nothing good to give you.
"ومش قادرة تشوفي ولا تعرفي إن
the person
اللي أنا
miss the most
هو إنتي.",0.6666666667,Arabic 67–100%,"You don't realize
إن أكتر حد واحشني هو
you.",0.4444444444,English 34–66%,ومش قادرة تشوفي ولا تعرفي إن أكتر حد واحشني هو إنتي.,You don't realize that the person I miss the most is you.
"عشان كدا من ساعة ما اتولدتي، أنا عملت
vow
مع نفسي إن أنا عمري ما هخوفك مني،
ever.",0.8888888889,Arabic 67–100%,"That's why
من أول ما اتولدتي،
I made
عَهْد مع نفسي إني عمرى ما هخوفك منك، أبداً.",0.2352941176,English 0–33%,عشان كدا من ساعة ما اتولدتي، أنا عاهدت نفسي إن أنا عمري ما هخوفك مني، عمري.,"That's why, ever since you were born, I made a vow to myself never to make you fear me, never."
"ساعات كنت بحسسك إني
vulnerable
، وساعات كنت بشتكي.",0.8888888889,Arabic 67–100%,"Sometimes, I've shown you
إني ضعيفة.
Sometimes
كنت بشتكي.",0.5555555556,English 34–66%,ساعات كنت بحسسك إني ضعيفة، وساعات كنت بشتكي.,"Sometimes, I've shown you how vulnerable I am. Sometimes I've complained."
"فلما كبرتي، أنا اكتشفت إني ربيت بنت
strong.",0.875,Arabic 67–100%,"So when you grew up,
اكتشفت إني
I raised
بنت قوية.",0.6363636364,English 34–66%,فلما كبرتي، أنا اكتشفت إني ربيت بنت قوية.,"So when you grew up, I realized I had raised a strong young woman."
"بس إنتي افكرتي إنك الـ
mother
وشيلتي همي، ودي
my fault.",0.7272727273,Arabic 67–100%,"But you
افكرتي إنك مامتي وحسيتي إنك مسؤولة، ودي غلطتي.",0.2,English 0–33%,بس إنتي افكرتي إن إنتي مامتي وشيلتي همي، ودي غلتطي.,"But that made you think you were the mother, and you felt responsible, and that's my fault."
"مش معنى إن أنا مش عايزاكي تخافي مني إن أنا مش
your mother
يا نادية.",0.8666666667,Arabic 67–100%,"Just because I don't want you to
تخافي مني
doesn't mean I'm not
مامتك يا نادية.",0.6875,English 67–100%,مش معنى إن أنا مش عايزاكي تخافي مني إن أنا مش مامتك يا نادية.,"Just because I don't want you to fear me doesn't mean I can't be your mother, Nadia."
"مش معنى إن أنا ساعات
show you
ضعفي، إن أنا
weak. No.",0.6666666667,Arabic 67–100%,"Just because
ساعات ببينلك ضعفي
doesn’t mean
إن أنا ضعيفة.
No.",0.4545454545,English 34–66%,مش معنى إن أنا ساعات ببينلك ضعفي، إن أنا ضعيفة.,Just because sometimes I let you see my weaknesses doesn't mean I'm weak. No.
"إنت فاكر يعني إن أنا مش عارفة أنا
I like
فيك إيه؟",0.8333333333,Arabic 67–100%,"Do you think
إن أنا مش عارفة
what I like
فيك؟",0.5454545455,English 34–66%,إنت فاكر يعني إن أنا مش عارفة أنا بحب فيك إيه؟,So do you really think I could not know what I like most about you?
"دي أكتر حاجة
I like
فيك، إنك مش
trying to please
حد.",0.5833333333,Arabic 34–66%,"That's the thing I
بحبه فيك، إنك مش بتحاول ترضي
anyone.",0.4545454545,English 34–66%,دي أكتر حاجة بحبها فيك، إن إنت مش عايز ترضي حد.,That's the thing I like the most about you. You're not trying to please anyone.
"إنت اكتر واحد بتعلمني
how to be at peace
مع نفسي يا سليم.",0.6153846154,Arabic 34–66%,"No one can teach me
أتصالح مع نفسي زيك يا سليم.",0.4545454545,English 34–66%,إنت اكتر واحد بتعلمني أتصالح مع نفسي يا سليم.,"No one can teach me to be at peace with myself like you do, Salim."
"إنت أكتر واحد
teach me
إني مآخدش الحاجة
personal
كل شوية.",0.7272727273,Arabic 67–100%,"You’re the
أكتر شخص علمني إني ما آخدش الحاجات على صدري
all the time.",0.3571428571,English 34–66%,أكتر واحد بيعلمني مآخدش حاجة على صدري.,You teach me not to take things so personally all the time.
"يمكن مش كل الناس شايفة ده، بس إنت اللي
holding
العيلة دي كلها، مع إنك
the youngest
واحد فينا.",0.8421052632,Arabic 67–100%,"Other people might not see
ده،
but you're the one
اللي ملصم
the family
كلها
even though
إنت أصغر واحد فينا.",0.619047619,English 34–66%,يمكن مش كل الناس شايفة ده بس إنت اللي ملصم العيلة دي كلها، مع إنك أصغر واحد فينا.,"Other people might not see that, but you're the one holding this family together even though you're the youngest one."
والله حضرتك اللي مش عارف تخبيهم كويس.,1,Arabic 67–100%,You're just not very good at hiding them.,1,English 67–100%,والله حضرتك اللي مش عارف تخبيهم كويس.,You're just not very good at hiding them.
"يعني إحنا بنجيلك عشان ننسى الـ
stress
بتاع الجواز اللي
our husbands
بينكدوه علينا، وإنتي بتكسبي من ورانا
a lot
، ورايقة، ومحدش
between
كد عليكي.",0.7692307692,Arabic 67–100%,"We come here
عشان ننسى النكد اللي اجوازتنا بينكدوه علينا،
and you
بتعملي فلوس كتير من ورانا ورايقة ومحدش بيدايقك.",0.25,English 0–33%,يعني إحنا بنجيلك عشان ننسى النكد اللي اجوازتنا بينكدوه علينا، وإنتي بتكسبي من ورانا قد كدا، ورايقة، ومحدش بينكد عليكي.,"We come here to get away from our marriage stress, and you make tons of money out of it and enjoy life stress-free."
"حبيبتي يا رشا، ربنا يديمها
blessing
عليكي.",0.8571428571,Arabic 67–100%,"Oh my dear
رشا،
I pray
ربنا يديمها نعمة عليكي.",0.5,English 34–66%,حبيبتي يا رشا، ربنا يديمها نعمة، عليكي.,"Oh, my dear Rasha, I pray you never lost it."
"فلوس إيه اللي أنا بعملها هو في فلوس؟
Today I'm actually losing money
مع الـ
offer
ده.",0.6470588235,Arabic 34–66%,"Actually,
أنا بخسر فلوس النهاردة مع الـ
offer
ده.",0.2222222222,English 0–33%,فلوس إيه اللي أنا بعملها هو في فلوس، ده النهاردة كله بنص التمن.,"Actually, I'm losing money today with that offer."
"أه، بس إنتي مش هتدفعي النص
because
إنتي مش
single.",0.8,Arabic 67–100%,"Of course,
العرض ده مش ليكي. إنتي مش سينجل.",0.2222222222,English 0–33%,أه، بس إنتي مش هتدفعي النص عشان إنتي مش سينجل.,"Of course, that offer isn't for you. You're not single."
"إنتي بتشقي و محتاجة شوية
pampering
لنفسك.",0.8571428571,Arabic 67–100%,"You work hard
و لازم تتدلعي شوية.",0.4285714286,English 34–66%,إنتي بتشقي بردو محتاجة كدا تتدلعي شوية.,"You work hard, and you need some pampering."
"يا علا، الـ
pampering
حلو مفيش كلام،
especially
لو كان بنص الـ
price.",0.7692307692,Arabic 67–100%,"Oh, Ola,
الدلع
is great,
مفيش كلام,
especially
لو كان بنص التمن.",0.4166666667,English 34–66%,أه يا علا، الدلع حلو مفيش كلام، خصوصًا بقى لو كان بنص التمن.,"Oh, Ola. I could use that, especially when it's half off!"
"هو إنتوا مش ناويين تنفعوني وتاخدوا من عندي
loan
تكبروا الـ
project
ده؟",0.8461538462,Arabic 67–100%,"Aren't you planning
إنكم تاخدوا من عندي قرض وتكبروا المشروع؟",0.3,English 0–33%,هو إنتوا مش ناويين تنفعوني وتاخدوا من عندي قرض تكبروا المشروع ده؟,Aren't you planning on getting a loan so you can expand?
"لسه بدري على الـ
topic
ده، فروع تانية إيه؟",0.8888888889,Arabic 67–100%,"It's too soon
على الكلام ده، فروع تانية إيه?",0.3333333333,English 34–66%,لا لسه بدري على الكلام ده، فروع تانية إيه؟,It's too soon for that.
"إنتي بس هاتيلنا حد معاه فلوس و
investor
وكاشات قد كدا وإحنا تمام.",0.9230769231,Arabic 67–100%,"Just find us
حد معاه فلوس وكاشات
and we’ll be
تمام.",0.5454545455,English 34–66%,إنتي بس هاتيلنا حد معاه فلوس وكاشات قد كدا وإحنا تمام.,Just find us a wealthy investor and leave the rest to us.
"وشك ناشف شوية، وتحت عنيكي حساه
bluish circles
، صح يا لولو؟",0.8333333333,Arabic 67–100%,"Your skin is
ناشف شوية، وتحت عنيكي مزرق، صح يا لولو?",0.2727272727,English 0–33%,وشك ناشف شوية، وتحت عنيكي حساه مزرق، صح يا لولو؟,"Your skin is dry, and you have bluish circles under your eyes."
"أنا عارفة إيه
his favorite color
وأكلته المفضلة وبيقص شَعره فين.",0.7272727273,Arabic 67–100%,"I only know
لونه المفضل
and
أكلته المفضلة
and
فين
he cuts his hair.",0.6428571429,English 34–66%,أنا عارفة إيه لونه المفضل وأكلته المفضلة وبيقص شقره فين.,I only know his favorite color and meal and where he cuts his hair.
"المهم هو بباكي هيعدي عليكي
in the morning
ولا هتباتي معانا النهاردة؟",0.75,Arabic 67–100%,"Will your dad
ييجي ياخدك الصبح ولا هتباتي معانا
tonight?",0.4,English 34–66%,المهم هو بباكي هيعدي عليكي الصبح ولا هتباتي معانا النهاردة؟,"Will your dad get you in the morning, or will you spend the night there?"
"هيعدي عليا الصبح وهنروح على الـ
camp
على طول.",0.8888888889,Arabic 67–100%,"He'll pick me up
الصبح وهنروح على الكامب على طول.",0.4,English 34–66%,متهيألي هيعدي عليا الصبح، وهنروح على الكامب على طول.,He'll pick me up in the morning and head to the camp.
"يعني إيه مش هتوديهم الـ
camp
يا هشام؟ يعني إيه؟",0.9,Arabic 67–100%,"What do you mean
مش هتوديهم
to the camp
يا هشام?",0.6363636364,English 34–66%,يعني إيه مش هتوديهم الكامب يا هشام؟ يعني إيه؟,What do you mean you're not taking them to the camp?
"هو إنت تعيا ومتروحش وأنا اللي أكون
the one
اللي أكسر قلبهم؟",0.8333333333,Arabic 67–100%,"I don't want to be the
واحد اللي
break
قلبهم.",0.7,English 67–100%,.هو إنت تعيا ومتروحش وأنا اللي أكسر قلبهم؟,I don't want to be the one breaking their hearts.
"جاله شوية برد فمش هيقدر ياخدهم الـ
camp
اللي كانوا بيحلموا بيه بقالهم
week.",0.8571428571,Arabic 67–100%,"He got
برد
so he can’t take them to
ال
camp
اللي بيحلموا بيه من أسبوع.",0.5625,English 34–66%,جاله شوية برد فمش عايز يخدهم الكامب اللي بيحلموا بيه بقالهم أسبوع.,"Got a cold, so he can't take them to the camp they've been dreaming about."
"بقولك إيه، لسه كنت بتكلم مع حد
I know
مستثمر.",0.8,Arabic 67–100%,"I was talking to
مستثمر
I know.",0.8571428571,English 67–100%,بقولك إيه، لسه كنت بتكلم مع حد أعرفة مستثمر.,I was talking to an investor I know.
"طب براحة، مش لازم
this week
يعني.",0.7142857143,Arabic 67–100%,"It doesn't have to be
الأسبوع ده يعني.",0.625,English 34–66%,طب براحة مش مش لازم الأسبوع ده يعني.,It doesn't have to be this week.
"ده أنا هدلعك لسه، شوفتي احلويتي إزاي
after
الـ
mask
؟",0.8181818182,Arabic 67–100%,"You look much better
بعد الماسك، بصراحة شكلك اختلف.",0.4444444444,English 34–66%,ده أنا هدلعك لسه، شوفتي احلويتي إزاي بعد الماسك؟,You look much better after that mask.
"ممكن بقى نفك الـ
faces
شوية ونبطل الـ
long kiladma?",0.7,Arabic 67–100%,"Can we lose
الوشوش شوية ونبطل كلضمة؟",0.4285714286,English 34–66%,ممكن بقى نفك الوشوش شوية ونبطل كلضمة؟,Can we lose the long faces and smile a bit?
"الاسم مظبوط بس هو الـ
Mr.
هشام فين؟",0.875,Arabic 67–100%,"The name is correct
بس فين الأستاذ
Hisham?",0.625,English 34–66%,الاسم مظبوط بس هو الأستاذ هشام فين؟,"The name is correct, but where's Mr. Hisham?"
"هو معلش كان عنده
circumstances
، فأنا بداله.",0.875,Arabic 67–100%,"He couldn't
ييجي، بس أنا هنا.",0.3333333333,English 34–66%,معلش هو كان عنده ظروف، فأنا بداله.,"He couldn't make it, but I'm here."
"هو فين حضرتك الـ
law
اللي بينص على كدا؟",0.8888888889,Arabic 67–100%,"Could you point me to
الـ قانون اللي بيقول كدا؟",0.5,English 34–66%,هو فين حضرتك القانون اللي بينص على كدا؟,Could you point me to the law that says so?
"هو أنا،
Ola
، ممضيتش على أي حاجة
honestly.",0.7777777778,Arabic 67–100%,"Honestly,
أنا
Ola
ما
signed
على أي حاجة.",0.375,English 34–66%,لا، هو أنا كعلا ممضيتش على حاجة الحقيقة.,"I, Ola, didn't sign anything."
"أستاذ هشام، بابا الأولاد وجوز حضرتك
signed
ووافق.",0.875,Arabic 67–100%,"Mr. Hisham,
بابا الأولاد وجوز حضرتك
signed and
وافق.",0.4444444444,English 34–66%,أستاذ هشام، بابا الأولاد وجوز حضرتك مضى ووافق.,"Mr. Hisham, the kids' father, and your husband signed and agreed."
"حضرتك بقى يا تتصلي بيه، يا تتفضلي عند الـ
mothers' camp.",0.8181818182,Arabic 67–100%,"So you can
يا إما تتصلي بيه، يا إما تروحي عند كامب الأمهات.",0.2307692308,English 0–33%,حضرتك بقى يا تتصلي بيه، يا تتفضلي عند كامب الأمهات.,"So you can call him, or you can go to the mothers' camp."
"حد عنده مشكلة يا جماعة
in
الكلام ده؟",0.875,Arabic 67–100%,"Does anyone have
مشكلة يا جماعة
in this?",0.625,English 34–66%,حد عنده مشكلة يا جماعة في الكلام ده؟,Does anyone have a problem?
"لو في مشكلة نحلها مع بعض يعني
with love.",0.7777777778,Arabic 67–100%,"We can
نحل المشكلة سوا يعني بالحب.",0.2857142857,English 0–33%,لو في مشكلة نحلها مع بعض يعني بالحب.,We can work it out in a friendly manner.
